street,blocks,miles,pavement_min_ft,pavement_max_ft,shoulder_each_side_ft_worst,blocks_already_nrr,miles_already_nrr
NE HUMBOLDT ST,8,0.736,11,36,9.0,4,0.19
NW SAVIER ST,7,0.736,20,36,9.0,0,0.0
SE 166TH AVE,5,0.732,28,38,10.0,0,0.0
SW 19TH AVE,11,0.731,10,36,9.0,1,0.034
NE 140TH AVE,6,0.73,28,32,7.0,0,0.0
NE 111TH AVE,6,0.729,26,38,10.0,0,0.0
NE 87TH AVE,14,0.727,25,32,7.0,0,0.0
SE BIDWELL ST,8,0.727,28,36,9.0,0,0.0
N BLANDENA ST,13,0.725,22,36,9.0,0,0.0
SW MARTHA ST,9,0.725,16,28,5.0,3,0.294
N EXETER AVE,6,0.725,24,32,7.0,0,0.0
SW 12TH AVE,13,0.724,12,28,5.0,4,0.165
SE 26TH AVE,13,0.724,24,44,13.0,0,0.0
SW TROY ST,9,0.72,18,30,6.0,2,0.128
NE 151ST AVE,8,0.717,22,28,5.0,0,0.0
SW 56TH AVE,6,0.716,15,32,7.0,1,0.216
N ALLEGHENY AVE,8,0.715,24,36,9.0,0,0.0
NE 85TH AVE,7,0.713,24,32,7.0,0,0.0
NE MORGAN ST,11,0.712,28,30,6.0,0,0.0
NE CHURCH ST,9,0.707,24,36,9.0,0,0.0
NE 7TH AVE,9,0.7,30,36,9.0,0,0.0
SW NEBRASKA ST,5,0.697,10,28,5.0,2,0.378
SE 165TH AVE,6,0.695,23,28,5.0,0,0.0
NW IRVING ST,9,0.688,30,40,11.0,0,0.0
SE 128TH AVE,10,0.687,28,32,7.0,0,0.0
SW LURADEL ST,4,0.687,28,32,7.0,0,0.0
SE 99TH AVE,11,0.686,30,32,7.0,0,0.0
NE 157TH AVE,9,0.686,24,40,11.0,0,0.0
SW 29TH AVE,7,0.683,12,28,5.0,2,0.188
SE 98TH AVE,10,0.682,26,32,7.0,0,0.0
N CHASE AVE,4,0.682,24,30,6.0,0,0.0
N SMITH ST,7,0.681,22,36,9.0,0,0.0
NE 156TH AVE,8,0.679,20,32,7.0,0,0.0
SE GRANT CT,11,0.677,24,32,7.0,0,0.0
N CLARENDON AVE,6,0.677,12,36,9.0,1,0.151
N DEPAUW ST,8,0.675,10,36,9.0,1,0.09
N OBERLIN ST,9,0.674,17,36,9.0,2,0.124
N VILLARD AVE,6,0.672,26,28,5.0,0,0.0
NE 110TH AVE,6,0.663,28,32,7.0,0,0.0
N HODGE AVE,6,0.663,20,32,7.0,0,0.0
NW BARTHOLOMEW DR,8,0.663,32,32,7.0,0,0.0
SW 49TH AVE,8,0.662,16,32,7.0,1,0.027
SW MITCHELL ST,7,0.659,15,32,7.0,4,0.258
NE 135TH AVE,6,0.659,32,44,13.0,0,0.0
N TIOGA AVE,5,0.659,30,36,9.0,0,0.0
N DWIGHT AVE,9,0.655,8,29,5.5,2,0.231
N BANK ST,10,0.652,23,32,7.0,0,0.0
SW 64TH AVE,8,0.651,16,32,7.0,1,0.125
SE 10TH AVE,8,0.65,36,36,9.0,0,0.0
N SIMPSON ST,11,0.65,24,36,9.0,0,0.0
NE 115TH AVE,5,0.649,24,28,5.0,0,0.0
SE 159TH AVE,9,0.649,26,32,7.0,0,0.0
NE HIGHLAND ST,8,0.648,28,36,9.0,0,0.0
SW CUSTER ST,7,0.648,20,28,5.0,0,0.0
SW 27TH AVE,10,0.646,12,36,9.0,2,0.137
NE ALBERTA ST,7,0.644,14,32,7.0,1,0.048
NE FLORAL PL,8,0.642,28,28,5.0,0,0.0
NW 24TH AVE,13,0.64,36,36,9.0,0,0.0
N SENECA ST,9,0.64,32,36,9.0,0,0.0
SW PENDLETON ST,7,0.637,18,30,6.0,1,0.164
NE SAN RAFAEL ST,5,0.637,28,36,9.0,0,0.0
NW JOHNSON ST,7,0.637,36,36,9.0,0,0.0
NE 125TH AVE,8,0.635,28,32,7.0,0,0.0
SW HAMILTON CT,10,0.634,12,32,7.0,4,0.292
SW BRUGGER ST,4,0.634,18,32,7.0,2,0.399
SE 143RD AVE,12,0.633,28,32,7.0,0,0.0
SE 133RD AVE,8,0.632,25,32,7.0,0,0.0
NE 152ND AVE,6,0.631,20,32,7.0,0,0.0
NE 83RD AVE,6,0.631,21,28,5.0,0,0.0
SE 167TH AVE,13,0.63,28,32,7.0,0,0.0
N ARLINGTON PL,5,0.626,24,30,6.0,0,0.0
NE CAMPAIGN ST,4,0.623,28,28,5.0,0,0.0
NE HALSEY ST,10,0.621,24,36,9.0,0,0.0
SW 41ST AVE,6,0.621,14,32,7.0,1,0.155
NW 20TH AVE,11,0.616,36,36,9.0,0,0.0
SW FLORIDA ST,7,0.615,20,32,7.0,0,0.0
NE 130TH PL,8,0.613,28,32,7.0,0,0.0
SW ORCHID ST,11,0.611,17,32,7.0,1,0.053
SW 63RD AVE,9,0.603,15,28,5.0,1,0.031
SW 51ST AVE,7,0.599,14,32,7.0,3,0.291
SW RIDGE DR,7,0.598,40,40,11.0,0,0.0
SW 3RD AVE,8,0.596,16,24,3.0,6,0.355
SE 166TH PL,8,0.593,24,40,11.0,0,0.0
NE HOLLAND ST,8,0.592,28,36,9.0,0,0.0
SE 147TH AVE,5,0.592,28,32,7.0,0,0.0
SE HAROLD ST,11,0.592,11,30,6.0,2,0.094
NW KEARNEY ST,6,0.591,36,36,9.0,0,0.0
NE 137TH AVE,8,0.591,19,32,7.0,0,0.0
NW HOYT ST,7,0.59,36,36,9.0,0,0.0
SW 10TH AVE,11,0.59,18,42,12.0,1,0.087
N YALE ST,7,0.59,16,36,9.0,1,0.091
SW 48TH DR,3,0.59,16,22,2.0,1,0.341
NW FLANDERS ST,7,0.588,36,36,9.0,0,0.0
SE TAYLOR CT,9,0.588,15,32,7.0,1,0.153
NE 121ST AVE,8,0.586,28,32,7.0,0,0.0
SW CANBY ST,8,0.585,20,32,7.0,0,0.0
N MINNESOTA AVE,12,0.583,20,40,11.0,0,0.0
SE MARION ST,6,0.579,24,28,5.0,0,0.0
SE 145TH AVE,5,0.579,20,28,5.0,0,0.0
SW 21ST AVE,11,0.576,10,36,9.0,2,0.095
SW BANCROFT ST,8,0.575,26,50,16.0,0,0.0
SW 30TH AVE,10,0.573,10,40,11.0,3,0.169
SE BYBEE DR,5,0.571,26,26,4.0,0,0.0
SW 62ND DR,1,0.569,26,26,4.0,0,0.0
NE 134TH PL,7,0.569,28,30,6.0,0,0.0
NE 131ST AVE,4,0.568,32,32,7.0,0,0.0
NE ROYAL CT,8,0.565,28,28,5.0,0,0.0
SE 124TH AVE,8,0.565,20,32,7.0,0,0.0
NE 104TH AVE,7,0.561,28,38,10.0,0,0.0
N FOWLER AVE,5,0.56,24,28,5.0,0,0.0
NE 120TH AVE,8,0.559,26,32,7.0,0,0.0
SE 32ND PL,9,0.559,24,28,5.0,0,0.0
SW TUNNELWOOD ST,7,0.559,18,32,7.0,3,0.233
SW 43RD AVE,7,0.557,12,32,7.0,1,0.049
NW MILL POND RD,6,0.557,32,32,7.0,0,0.0
NE DUNCKLEY ST,6,0.555,28,28,5.0,0,0.0
SW DOLPH DR,8,0.554,28,32,7.0,0,0.0
SW 31ST AVE,5,0.551,18,32,7.0,1,0.126
N ALMA AVE,10,0.55,24,36,9.0,0,0.0
SW FREEMAN ST,6,0.545,12,28,5.0,2,0.257
SW 18TH AVE,10,0.545,20,36,9.0,0,0.0
NE SARATOGA ST,7,0.544,28,30,6.0,0,0.0
N OMAHA AVE,8,0.543,24,34,8.0,0,0.0
N OLYMPIA ST,8,0.538,20,32,7.0,0,0.0
N NEWARK ST,10,0.535,24,32,7.0,0,0.0
SW SPRING GARDEN ST,5,0.535,12,28,5.0,2,0.147
SW 5TH AVE,5,0.534,16,36,9.0,3,0.344
SW SEYMOUR ST,5,0.533,20,32,7.0,0,0.0
SW 62ND AVE,6,0.532,24,32,7.0,0,0.0
SW 40TH AVE,6,0.531,12,32,7.0,1,0.114
SW 12TH DR,4,0.531,21,28,5.0,0,0.0
NE 134TH AVE,6,0.529,32,32,7.0,0,0.0
SE 96TH AVE,4,0.527,24,38,10.0,0,0.0
NE 94TH AVE,2,0.526,22,28,5.0,0,0.0
N WASHBURNE AVE,7,0.524,24,36,9.0,0,0.0
SE 114TH PL,9,0.524,27,32,7.0,0,0.0
SE 109TH AVE,6,0.524,20,32,7.0,0,0.0
N WILLIS BLVD,7,0.523,28,36,9.0,0,0.0
N OSWEGO AVE,8,0.523,24,36,9.0,0,0.0
NE 141ST AVE,6,0.522,24,42,12.0,0,0.0
SW KANAN DR,5,0.522,18,20,1.0,2,0.194
N BERKELEY AVE,5,0.521,24,36,9.0,0,0.0
SW CALIFORNIA ST,6,0.521,10,32,7.0,2,0.11
NE 133RD AVE,5,0.519,24,32,7.0,0,0.0
SW 59TH AVE,5,0.518,12,32,7.0,1,0.083
NW DEVOTO LN,4,0.517,23,26,4.0,0,0.0
NE ALTON ST,5,0.517,28,32,7.0,0,0.0
NE ELROD DR,1,0.515,24,24,3.0,0,0.0
SE 135TH AVE,8,0.511,28,28,5.0,0,0.0
N BRANDON AVE,9,0.511,28,36,9.0,0,0.0
SW 62ND PL,5,0.509,16,32,7.0,2,0.222
SW DICKINSON ST,8,0.508,15,42,12.0,3,0.197
SE 137TH AVE,8,0.508,20,32,7.0,0,0.0
NE 129TH PL,8,0.507,28,48,15.0,0,0.0
NE FARGO CT,3,0.507,20,30,6.0,0,0.0
N FISKE AVE,7,0.506,29,30,6.0,0,0.0
SW 33RD PL,4,0.502,18,30,6.0,1,0.248
SW COMUS ST,6,0.501,12,32,7.0,1,0.079
N GREENWICH AVE,4,0.5,24,28,5.0,0,0.0
SE 36TH PL,7,0.498,24,30,6.0,0,0.0
N DETROIT AVE,4,0.498,50,50,16.0,0,0.0
N SCHOFIELD ST,4,0.497,36,36,9.0,0,0.0
N HOLLAND ST,6,0.495,20,30,6.0,0,0.0
SW WESTWOOD CT,4,0.495,18,20,1.0,2,0.303
N JARRETT ST,8,0.493,24,36,9.0,0,0.0
N KILPATRICK ST,5,0.492,15,36,9.0,1,0.086
N DRUMMOND AVE,6,0.492,24,36,9.0,0,0.0
SW MENEFEE DR,5,0.49,8,18,0.0,5,0.49
N CRAWFORD ST,6,0.489,14,34,8.0,2,0.138
SW 39TH DR,6,0.482,28,32,7.0,0,0.0
NE 131ST PL,7,0.482,28,40,11.0,0,0.0
SW 61ST AVE,5,0.48,18,25,3.5,2,0.177
SE 144TH AVE,5,0.478,24,32,7.0,0,0.0
N CALHOUN AVE,4,0.477,24,36,9.0,0,0.0
SW 7TH AVE,4,0.475,14,26,4.0,2,0.223
SW 19TH DR,4,0.472,20,26,4.0,0,0.0
N TRENTON ST,8,0.47,28,32,7.0,0,0.0
SW CALDEW ST,6,0.468,28,32,7.0,0,0.0
SW BURLINGAME AVE,7,0.468,16,28,5.0,3,0.183
SE RAYMOND CT,8,0.468,28,30,6.0,0,0.0
NE FREMONT ST,8,0.467,20,42,12.0,0,0.0
SW FAIRHAVEN DR,3,0.466,20,24,3.0,0,0.0
NW ROYAL BLVD,4,0.462,16,28,5.0,1,0.113
SW BRIDLEMILE LN,4,0.46,20,22,2.0,0,0.0
SW MILES ST,9,0.46,14,32,7.0,1,0.092
NE SOUTH SHORE RD,1,0.457,22,22,2.0,0,0.0
NE 112TH AVE,3,0.452,12,38,10.0,1,0.044
SE HENDERSON WAY,6,0.451,26,26,4.0,0,0.0
NE 144TH AVE,7,0.451,30,44,13.0,0,0.0
SW PALATINE ST,5,0.449,16,20,1.0,3,0.254
NE 158TH AVE,8,0.448,32,32,7.0,0,0.0
SE NAEGELI DR,3,0.448,37,37,9.5,0,0.0
NE 154TH AVE,6,0.446,28,36,9.0,0,0.0
SW KNIGHTSBRIDGE DR,3,0.441,26,30,6.0,0,0.0
SW 46TH AVE,5,0.441,12,30,6.0,4,0.282
NE LADDINGTON CT,6,0.44,28,28,5.0,0,0.0
SW EVANS ST,8,0.437,14,30,6.0,3,0.137
NW QUIMBY ST,4,0.436,28,36,9.0,0,0.0
N SEWARD AVE,4,0.436,24,30,6.0,0,0.0
SW HIGHLAND PKWY,3,0.435,16,18,0.0,3,0.435
SW RUBY TER,3,0.435,18,24,3.0,1,0.062
N GILBERT AVE,7,0.432,14,40,11.0,1,0.046
N BOWDOIN ST,5,0.432,24,36,9.0,0,0.0
SE 108TH AVE,4,0.431,21,32,7.0,0,0.0
SE 7TH AVE,6,0.43,28,36,9.0,0,0.0
N EMERALD AVE,9,0.428,28,36,9.0,0,0.0
SW EVELYN ST,8,0.426,18,32,7.0,1,0.027
SW 18TH DR,7,0.424,18,26,4.0,1,0.058
NE RIDGEWOOD DR,8,0.422,24,28,5.0,0,0.0
SE 170TH AVE,7,0.421,20,32,7.0,0,0.0
SW 6TH AVE,7,0.42,24,32,7.0,0,0.0
SW CULLEN BLVD,3,0.42,18,32,7.0,1,0.158
SE STARK ST,9,0.419,16,30,6.0,1,0.043
N JOHN AVE,7,0.418,20,40,11.0,0,0.0
N CECELIA ST,7,0.416,29,32,7.0,0,0.0
N OATMAN AVE,5,0.415,24,24,3.0,0,0.0
SW RIVINGTON DR,2,0.415,24,24,3.0,0,0.0
N KNOWLES AVE,5,0.415,28,28,5.0,0,0.0
SE 107TH AVE,7,0.414,26,32,7.0,0,0.0
SE LINCOLN CT,4,0.413,28,32,7.0,0,0.0
SW WASHOUGA AVE,2,0.413,24,24,3.0,0,0.0
SE 150TH AVE,3,0.412,28,32,7.0,0,0.0
SE HAIG DR,10,0.412,32,40,11.0,0,0.0
N HARVARD ST,6,0.412,24,36,9.0,0,0.0
NW UPSHUR ST,5,0.411,28,36,9.0,0,0.0
NE 119TH AVE,3,0.411,22,32,7.0,0,0.0
SW DAVENPORT ST,4,0.41,18,28,5.0,1,0.026
NE SISKIYOU CT,3,0.41,28,32,7.0,0,0.0
SE 139TH AVE,6,0.409,18,32,7.0,1,0.041
SW DOLPH CT,9,0.407,11,32,7.0,1,0.049
SW FLOWER ST,5,0.407,14,28,5.0,3,0.303
NE 130TH AVE,4,0.405,28,32,7.0,0,0.0
SE 134TH AVE,5,0.405,32,32,7.0,0,0.0
N HAVEN AVE,7,0.403,24,29,5.5,0,0.0
NE MEADOW DR,1,0.4,24,24,3.0,0,0.0
NE IMPERIAL AVE,8,0.4,28,28,5.0,0,0.0
SE STEPHENS CT,5,0.4,32,32,7.0,0,0.0
NE JUNIOR ST,4,0.399,28,30,6.0,0,0.0
N CHURCH ST,6,0.398,24,27,4.5,0,0.0
N WAYLAND AVE,4,0.398,28,32,7.0,0,0.0
NE WISTARIA DR,7,0.398,24,28,5.0,0,0.0
NE 138TH PL,3,0.397,28,32,7.0,0,0.0
SE 112TH AVE,6,0.396,17,28,5.0,1,0.02
NE 42ND AVE,6,0.395,28,28,5.0,0,0.0
N HALLECK ST,3,0.395,28,28,5.0,0,0.0
NE BRAZEE CT,5,0.394,24,32,7.0,0,0.0
N TRUMBULL AVE,6,0.393,30,36,9.0,0,0.0
NE COOK ST,3,0.393,28,30,6.0,0,0.0
SE HENDERSON DR,2,0.393,18,26,4.0,1,0.224
NE MONROE ST,3,0.392,36,36,9.0,0,0.0
SW 18TH PL,3,0.391,22,24,3.0,0,0.0
NW PETTYGROVE ST,4,0.39,36,36,9.0,0,0.0
NE 106TH AVE,6,0.389,28,38,10.0,0,0.0
NE 143RD AVE,5,0.389,20,32,7.0,0,0.0
SW 9TH AVE,4,0.389,16,28,5.0,1,0.086
SW ORCHID DR,4,0.386,28,30,6.0,0,0.0
N ENDICOTT AVE,4,0.384,32,32,7.0,0,0.0
SE 149TH AVE,4,0.383,28,32,7.0,0,0.0
N RICHMOND AVE,3,0.382,36,36,9.0,0,0.0
SW DOLPH ST,4,0.381,20,28,5.0,0,0.0
SW PASADENA ST,4,0.38,20,32,7.0,0,0.0
SW NORTHWOOD AVE,3,0.38,12,18,0.0,3,0.38
N MASON ST,9,0.38,26,36,9.0,0,0.0
N MORGAN ST,8,0.379,12,32,7.0,1,0.032
SW 11TH AVE,6,0.379,27,36,9.0,0,0.0
NW MAYWOOD DR,2,0.378,24,24,3.0,0,0.0
N SARATOGA ST,6,0.378,28,36,9.0,0,0.0
SW 38TH AVE,2,0.377,20,28,5.0,0,0.0
SW STEPHENSON CT,1,0.377,16,16,-1.0,1,0.377
SE ALDER CT,7,0.377,24,32,7.0,0,0.0
SE 138TH AVE,4,0.374,26,32,7.0,0,0.0
SW SHERWOOD DR,3,0.374,16,16,-1.0,3,0.374
NE 105TH AVE,4,0.373,28,28,5.0,0,0.0
NW PINNACLE DR,5,0.373,32,36,9.0,0,0.0
SW IDAHO ST,5,0.373,14,28,5.0,1,0.045
SW 1ST AVE,5,0.372,20,38,10.0,0,0.0
SW CAROLINA ST,5,0.37,28,34,8.0,0,0.0
NW 17TH AVE,8,0.37,33,36,9.0,0,0.0
N GENEVA AVE,3,0.369,28,32,7.0,0,0.0
SW BURTON DR,1,0.367,14,14,-2.0,1,0.367
N COLONIAL AVE,5,0.366,26,30,6.0,0,0.0
SW MYRTLE DR,1,0.365,24,24,3.0,0,0.0
N OVERLOOK BLVD,7,0.363,28,30,6.0,0,0.0
SE 134TH DR,3,0.363,23,24,3.0,0,0.0
SE 136TH AVE,5,0.363,26,32,7.0,0,0.0
SE 146TH AVE,6,0.361,28,40,11.0,0,0.0
SW ALTADENA AVE,4,0.36,20,30,6.0,0,0.0
N WYGANT ST,6,0.359,20,42,12.0,0,0.0
SW WESTDALE DR,1,0.357,28,28,5.0,0,0.0
SE DUKE ST,7,0.354,22,32,7.0,0,0.0
NW ENGLEMAN ST,6,0.354,32,32,7.0,0,0.0
SW 15TH AVE,3,0.354,15,28,5.0,2,0.124
NE 123RD AVE,3,0.353,28,28,5.0,0,0.0
SE 118TH DR,2,0.353,28,28,5.0,0,0.0
SE EVERGREEN ST,4,0.352,21,30,6.0,0,0.0
N BAYARD AVE,4,0.351,24,28,5.0,0,0.0
SW 17TH DR,6,0.35,20,22,2.0,0,0.0
SE SUN CREST DR,2,0.349,32,32,7.0,0,0.0
N LONGVIEW AVE,4,0.349,26,26,4.0,0,0.0
N CHICAGO AVE,5,0.348,30,36,9.0,0,0.0
NE 132ND AVE,2,0.347,32,32,7.0,0,0.0
SE SCOTT DR,4,0.347,26,30,6.0,0,0.0
SW MADISON ST,6,0.347,26,36,9.0,0,0.0
SW JERALD WAY,5,0.346,18,28,5.0,2,0.106
SW LOBELIA ST,4,0.344,14,30,6.0,3,0.24
N BRISTOL AVE,3,0.344,36,36,9.0,0,0.0
NE 149TH AVE,7,0.343,28,32,7.0,0,0.0
SE 93RD AVE,6,0.342,28,32,7.0,0,0.0
SE 86TH CT,6,0.342,8,30,6.0,3,0.156
NW MARSHALL ST,3,0.34,28,36,9.0,0,0.0
SW 14TH DR,4,0.339,30,32,7.0,0,0.0
N SWENSON ST,5,0.339,24,24,3.0,0,0.0
SW CLIFTON ST,7,0.338,26,36,9.0,0,0.0
SW 11TH DR,2,0.338,28,28,5.0,0,0.0
NE 14TH PL,4,0.336,30,30,6.0,0,0.0
SE CLINTON CT,3,0.336,28,40,11.0,0,0.0
SE MITCHELL CT,5,0.336,18,28,5.0,1,0.064
SE 129TH AVE,4,0.335,28,32,7.0,0,0.0
SE TERRACE TRAILS DR,4,0.335,26,26,4.0,0,0.0
NE 103RD AVE,2,0.334,30,32,7.0,0,0.0
N CONGRESS AVE,3,0.333,32,35,8.5,0,0.0
N VINCENT AVE,4,0.333,28,28,5.0,0,0.0
SE 132ND AVE,6,0.333,18,32,7.0,1,0.054
N OLIN AVE,6,0.332,30,40,11.0,0,0.0
N WABASH AVE,5,0.331,36,36,9.0,0,0.0
SW 16TH AVE,7,0.331,26,36,9.0,0,0.0
SW 48TH AVE,4,0.331,24,30,6.0,0,0.0
NE 116TH AVE,3,0.33,24,28,5.0,0,0.0
NW RALEIGH ST,4,0.328,28,36,9.0,0,0.0
NW REED DR,3,0.328,36,36,9.0,0,0.0
SW LOOP DR,2,0.327,28,28,5.0,0,0.0
N MASSACHUSETTS AVE,4,0.327,28,28,5.0,0,0.0
N SHAVER ST,8,0.325,36,40,11.0,0,0.0
N MEARS ST,3,0.324,24,32,7.0,0,0.0
SW MILES CT,3,0.324,18,32,7.0,1,0.037
SW FALCON ST,4,0.324,22,30,6.0,0,0.0
SE 142ND AVE,3,0.323,17,30,6.0,1,0.093
N CATLIN AVE,7,0.322,36,36,9.0,0,0.0
N MCCLELLAN ST,4,0.321,23,36,9.0,0,0.0
N HURST AVE,3,0.321,24,26,4.0,0,0.0
SW FAIRVALE CT,2,0.32,16,16,-1.0,2,0.32
NE 160TH AVE,4,0.32,24,32,7.0,0,0.0
NE IVY ST,2,0.32,32,36,9.0,0,0.0
SE WINDSOR CT,4,0.32,18,28,5.0,1,0.033
SW 26TH DR,4,0.318,20,20,1.0,0,0.0
SW STANLEY CT,4,0.318,32,32,7.0,0,0.0
SW 47TH DR,4,0.317,32,36,9.0,0,0.0
SW 13TH AVE,4,0.316,19,28,5.0,0,0.0
SE COLT DR,2,0.315,30,40,11.0,0,0.0
NE 93RD AVE,2,0.314,20,30,6.0,0,0.0
SW CANYON CT,1,0.314,32,32,7.0,0,0.0
N GLOUCESTER AVE,2,0.312,24,28,5.0,0,0.0
SW HAINES ST,4,0.312,10,16,-1.0,4,0.312
SW 38TH PL,3,0.31,28,32,7.0,0,0.0
N VANDERBILT ST,4,0.31,24,24,3.0,0,0.0
SE 103RD DR,3,0.307,28,28,5.0,0,0.0
SE DONATELLO LOOP,2,0.306,26,26,4.0,0,0.0
NE BELL DR,2,0.306,26,26,4.0,0,0.0
N HARTMAN ST,3,0.306,24,24,3.0,0,0.0
SW MAPLECREST DR,2,0.305,18,20,1.0,1,0.206
NE BLUE HERON DR,4,0.304,23,23,2.5,0,0.0
SE HAWTHORNE CT,5,0.303,28,32,7.0,0,0.0
SW 16TH DR,3,0.303,28,28,5.0,0,0.0
NE GRAHAM ST,3,0.302,26,36,9.0,0,0.0
SW ORCHARD HILL PL,5,0.302,25,32,7.0,0,0.0
NE PEERLESS PL,6,0.301,28,34,8.0,0,0.0
SW HUBER ST,3,0.301,20,21,1.5,0,0.0
SW KRUSE RIDGE DR,6,0.301,28,32,7.0,0,0.0
SW DAKOTA ST,5,0.301,28,28,5.0,0,0.0
SW 8TH DR,1,0.3,28,28,5.0,0,0.0
N FOSS AVE,3,0.299,26,36,9.0,0,0.0
SW 55TH DR,4,0.298,20,28,5.0,0,0.0
SW IDAHO TER,2,0.298,28,30,6.0,0,0.0
SW MYRTLE ST,6,0.298,22,26,4.0,0,0.0
N ATTU ST,2,0.298,30,32,7.0,0,0.0
SW LOWELL ST,2,0.297,20,32,7.0,0,0.0
SW EDGEWOOD RD,1,0.296,28,28,5.0,0,0.0
NW BENSON ST,4,0.295,28,32,7.0,0,0.0
N ARGYLE ST,3,0.294,30,32,7.0,0,0.0
SE 155TH AVE,3,0.294,25,32,7.0,0,0.0
NE 159TH AVE,6,0.292,28,32,7.0,0,0.0
NW NORTHRUP ST,3,0.292,28,36,9.0,0,0.0
NE GLISAN ST,4,0.291,48,55,18.5,0,0.0
SE 144TH DR,6,0.291,26,32,7.0,0,0.0
SW HILLSIDE DR,4,0.29,20,24,3.0,0,0.0
SW SUNSET DR,2,0.289,18,20,1.0,1,0.249
NW SEBLAR DR,3,0.289,30,30,6.0,0,0.0
SW FLOWER TER,1,0.289,20,20,1.0,0,0.0
SW CONDOR AVE,4,0.288,24,36,9.0,0,0.0
SW ARNOLD ST,4,0.288,18,32,7.0,1,0.099
SW 58TH AVE,2,0.287,18,32,7.0,1,0.141
SE MALDEN CT,3,0.286,23,28,5.0,0,0.0
SE PERSHING ST,6,0.286,16,18,0.0,6,0.286
NE ONEONTA ST,3,0.286,36,36,9.0,0,0.0
NE 153RD PL,5,0.285,28,32,7.0,0,0.0
NE 116TH PL,3,0.283,28,28,5.0,0,0.0
SW HAMILTON ST,4,0.283,16,30,6.0,2,0.149
SE 12TH AVE,6,0.282,28,36,9.0,0,0.0
SE BROOKSIDE DR,3,0.279,32,32,7.0,0,0.0
SE 171ST AVE,4,0.279,29,32,7.0,0,0.0
SW 28TH DR,5,0.279,28,32,7.0,0,0.0
SE 140TH DR,1,0.279,28,28,5.0,0,0.0
NE 97TH AVE,3,0.278,22,32,7.0,0,0.0
SE 169TH PL,4,0.278,32,40,11.0,0,0.0
SW 57TH PL,2,0.276,24,32,7.0,0,0.0
SE CORA DR,3,0.275,30,30,6.0,0,0.0
NE 100TH AVE,3,0.274,32,37,9.5,0,0.0
SE 172ND AVE,6,0.274,32,32,7.0,0,0.0
SE EQUESTRIAN DR,5,0.273,23,23,2.5,0,0.0
N NEWELL AVE,3,0.273,24,30,6.0,0,0.0
NE COUCH CT,4,0.271,32,32,7.0,0,0.0
NW WESTOVER RD,3,0.271,26,28,5.0,0,0.0
SE FOSTER PL,2,0.27,16,20,1.0,1,0.236
NE HAMBLET ST,3,0.27,28,28,5.0,0,0.0
N JUNEAU ST,4,0.27,28,32,7.0,0,0.0
SW BALMER CIR,2,0.27,28,28,5.0,0,0.0
NW SALTZMAN RD,1,0.269,18,18,0.0,1,0.269
SW JERALD CT,4,0.269,18,20,1.0,1,0.011
SW 20TH AVE,4,0.268,33,36,9.0,0,0.0
SW MARKET ST,3,0.267,36,36,9.0,0,0.0
SW NEVADA TER,1,0.266,28,28,5.0,0,0.0
N MACRUM AVE,3,0.266,46,46,14.0,0,0.0
NW 29TH AVE,4,0.265,28,36,9.0,0,0.0
SW BERTHA BLVD,3,0.265,20,30,6.0,0,0.0
SW IDAHO DR,4,0.265,30,36,9.0,0,0.0
NE RUSSET ST,3,0.264,24,24,3.0,0,0.0
SW MT HOOD LN,1,0.264,24,24,3.0,0,0.0
N NEWMAN AVE,3,0.264,24,32,7.0,0,0.0
SW BUCKINGHAM AVE,1,0.263,24,24,3.0,0,0.0
N DRUID AVE,3,0.263,24,32,7.0,0,0.0
NE MORRIS CT,4,0.262,32,32,7.0,0,0.0
NE 78TH PL,1,0.261,26,26,4.0,0,0.0
N WILLAMETTE LN,2,0.261,15,24,3.0,1,0.102
SW MAIN ST,4,0.261,36,36,9.0,0,0.0
SW TAYLOR CT,1,0.26,18,18,0.0,1,0.26
SW MAPLECREST CT,1,0.26,18,18,0.0,1,0.26
SW PARKHILL DR,1,0.259,18,18,0.0,1,0.259
SW 65TH AVE,5,0.258,12,32,7.0,3,0.21
SW TAYLORS FERRY CT,3,0.257,20,20,1.0,0,0.0
SE MORRISON CT,5,0.257,24,32,7.0,0,0.0
NE RUSSELL CT,3,0.257,28,32,7.0,0,0.0
SE 104TH DR,6,0.256,28,36,9.0,0,0.0
N FORTUNE AVE,3,0.256,36,36,9.0,0,0.0
SE EASTRIDGE ST,3,0.256,26,26,4.0,0,0.0
NW HARBOR BLVD,4,0.255,10,18,0.0,4,0.255
SW NEVADA ST,5,0.255,12,30,6.0,2,0.098
N KIMBALL AVE,2,0.254,36,36,9.0,0,0.0
SW SYLVANIA TER,2,0.254,20,30,6.0,0,0.0
NE KLICKITAT CT,2,0.254,32,32,7.0,0,0.0
NW CHAPIN DR,3,0.254,24,26,4.0,0,0.0
SE 131ST AVE,5,0.253,20,32,7.0,0,0.0
SW HUME CT,3,0.253,25,28,5.0,0,0.0
SW BROADLEAF DR,2,0.253,30,32,7.0,0,0.0
SW CHESAPEAK AVE,2,0.253,10,12,-3.0,2,0.253
N HAMLIN AVE,3,0.252,28,32,7.0,0,0.0
NE GOING PL,5,0.252,20,22,2.0,0,0.0
SW SOUTHVIEW PL,1,0.251,16,16,-1.0,1,0.251
NE CADET AVE,1,0.251,32,32,7.0,0,0.0
SE HAROLD CT,1,0.251,28,28,5.0,0,0.0
