street,blocks,miles,pavement_min_ft,pavement_max_ft,shoulder_each_side_ft_worst,blocks_already_nrr,miles_already_nrr
SE REEDWAY ST,39,2.391,20,50,16.0,0,0.0
SE 19TH AVE,36,2.385,9,36,9.0,1,0.049
SE RHONE ST,31,2.385,20,36,9.0,0,0.0
SE 74TH AVE,30,2.381,23,40,11.0,0,0.0
SE CARLTON ST,29,2.379,21,32,7.0,0,0.0
SE 47TH AVE,28,2.378,20,36,9.0,0,0.0
NE 11TH AVE,29,2.369,20,36,9.0,0,0.0
NE 13TH AVE,34,2.368,12,36,9.0,4,0.151
SE SHERMAN ST,35,2.367,24,36,9.0,0,0.0
SE LEXINGTON ST,24,2.355,22,40,11.0,0,0.0
SE 80TH AVE,41,2.355,15,44,13.0,3,0.106
SE 43RD AVE,34,2.352,20,42,12.0,0,0.0
SE MILL ST,22,2.343,18,36,9.0,2,0.318
NE CLACKAMAS ST,36,2.34,12,42,12.0,8,0.377
NE KNOTT ST,16,2.332,24,32,7.0,0,0.0
SE 51ST AVE,29,2.329,10,36,9.0,1,0.126
SE CLAY ST,26,2.32,12,32,7.0,2,0.081
SE 87TH AVE,24,2.319,22,36,9.0,0,0.0
SE 37TH AVE,40,2.314,16,36,9.0,2,0.091
SE OGDEN ST,25,2.293,20,40,11.0,0,0.0
SE 32ND AVE,27,2.291,18,36,9.0,1,0.049
SE 85TH AVE,21,2.282,12,36,9.0,3,0.164
SE LAMBERT ST,29,2.282,12,32,7.0,1,0.049
NE 9TH AVE,32,2.278,28,36,9.0,0,0.0
NE 31ST AVE,31,2.276,26,36,9.0,0,0.0
SE KELLY ST,24,2.275,22,32,7.0,0,0.0
SE 58TH AVE,27,2.272,17,32,7.0,3,0.191
N COMMERCIAL AVE,27,2.268,28,42,12.0,0,0.0
SE NEHALEM ST,25,2.262,18,50,16.0,1,0.057
SE 86TH AVE,24,2.26,14,38,10.0,3,0.269
NE 10TH AVE,30,2.255,14,40,11.0,1,0.042
SE 63RD AVE,21,2.252,17,32,7.0,1,0.1
SE 22ND AVE,31,2.22,24,36,9.0,0,0.0
NE 23RD AVE,24,2.211,24,30,6.0,0,0.0
SE 67TH AVE,27,2.208,10,36,9.0,1,0.03
NE 25TH AVE,25,2.18,28,36,9.0,0,0.0
SE ELLIS ST,27,2.149,20,50,16.0,0,0.0
SE 73RD AVE,22,2.14,20,36,9.0,0,0.0
NE 8TH AVE,29,2.127,18,36,9.0,2,0.1
SE 46TH AVE,25,2.118,20,41,11.5,0,0.0
SE TAGGART ST,33,2.111,10,36,9.0,3,0.18
NE PACIFIC ST,27,2.104,10,48,15.0,6,0.289
NE 12TH AVE,24,2.103,24,36,9.0,0,0.0
SE TOLMAN ST,35,2.098,12,34,8.0,1,0.065
SE 48TH AVE,26,2.09,18,36,9.0,1,0.127
NE 16TH AVE,22,2.083,28,59,20.5,0,0.0
SE 49TH AVE,27,2.078,19,36,9.0,0,0.0
NE 52ND AVE,29,2.071,20,32,7.0,0,0.0
SE 62ND AVE,26,2.065,24,32,7.0,0,0.0
NE MALLORY AVE,25,2.049,16,36,9.0,1,0.05
NE 78TH AVE,21,2.036,24,36,9.0,0,0.0
N KERBY AVE,28,2.029,20,41,11.5,0,0.0
SE 15TH AVE,37,2.023,24,36,9.0,0,0.0
SE LONG ST,30,2.02,14,40,11.0,2,0.07
NE 14TH AVE,24,2.013,28,36,9.0,0,0.0
NE 35TH AVE,25,2.011,10,36,9.0,1,0.031
SE REX ST,25,2.004,12,32,7.0,1,0.047
NE ALAMEDA ST,31,2.002,28,54,18.0,0,0.0
NE 73RD AVE,21,2.001,22,36,9.0,0,0.0
NE EMERSON ST,33,1.98,16,32,7.0,4,0.189
NE 32ND AVE,23,1.97,28,36,9.0,0,0.0
NE HOYT ST,30,1.965,14,36,9.0,1,0.049
SE CLAYBOURNE ST,29,1.964,28,32,7.0,0,0.0
SE 18TH AVE,29,1.952,10,36,9.0,2,0.078
SE MITCHELL ST,31,1.942,18,44,13.0,1,0.089
SE 57TH AVE,23,1.939,18,32,7.0,1,0.042
NE 36TH AVE,24,1.929,10,36,9.0,1,0.03
SE 38TH AVE,33,1.915,14,40,11.0,1,0.051
SE INSLEY ST,26,1.912,23,80,31.0,0,0.0
SE 30TH AVE,21,1.902,10,40,11.0,1,0.044
NE WASCO ST,26,1.895,12,36,9.0,4,0.218
NE 29TH AVE,25,1.894,26,36,9.0,0,0.0
SE MALDEN ST,16,1.894,27,33,7.5,0,0.0
NE 63RD AVE,25,1.89,24,36,9.0,0,0.0
SE 68TH AVE,22,1.89,20,32,7.0,0,0.0
SE 14TH AVE,36,1.889,22,36,9.0,0,0.0
SE STEELE ST,27,1.882,24,36,9.0,0,0.0
N WILLAMETTE BLVD,16,1.879,24,40,11.0,0,0.0
NE SHAVER ST,33,1.876,28,44,13.0,0,0.0
SE 33RD AVE,29,1.86,14,36,9.0,2,0.104
NE 75TH AVE,19,1.856,14,36,9.0,1,0.126
SE 71ST AVE,16,1.849,20,33,7.5,0,0.0
NE 80TH AVE,19,1.838,24,36,9.0,0,0.0
NE 32ND PL,20,1.83,24,36,9.0,0,0.0
NE 76TH AVE,21,1.828,14,30,6.0,2,0.079
SE 50TH AVE,26,1.825,20,32,7.0,0,0.0
N MONTANA AVE,27,1.82,24,36,9.0,0,0.0
NE 38TH AVE,20,1.808,24,30,6.0,0,0.0
NE GARFIELD AVE,20,1.808,24,36,9.0,0,0.0
NE CLEVELAND AVE,22,1.807,24,36,9.0,0,0.0
N CONCORD AVE,26,1.803,22,40,11.0,0,0.0
SE 88TH AVE,21,1.799,12,44,13.0,5,0.582
NE MORRIS ST,17,1.799,16,36,9.0,1,0.061
N SYRACUSE ST,22,1.793,22,36,9.0,0,0.0
SE 77TH AVE,26,1.774,20,32,7.0,0,0.0
SE MARTINS ST,20,1.771,12,32,7.0,2,0.259
SE CLATSOP ST,13,1.762,28,36,9.0,0,0.0
SE TENINO ST,24,1.757,16,36,9.0,3,0.175
SE 42ND AVE,28,1.755,15,40,11.0,3,0.117
NE 79TH AVE,16,1.754,20,30,6.0,0,0.0
NE 61ST AVE,23,1.748,12,36,9.0,5,0.235
SE SCHILLER ST,30,1.742,28,32,7.0,0,0.0
NE 66TH AVE,18,1.738,24,50,16.0,0,0.0
NE 62ND AVE,23,1.714,13,36,9.0,5,0.284
SE 69TH AVE,17,1.713,12,36,9.0,1,0.085
SE 89TH AVE,18,1.71,14,36,9.0,1,0.208
NE 20TH AVE,19,1.704,23,30,6.0,0,0.0
NE 55TH AVE,23,1.702,16,45,13.5,2,0.118
SE GLENWOOD ST,27,1.7,18,40,11.0,1,0.05
NE 28TH AVE,22,1.698,28,30,6.0,0,0.0
N MICHIGAN AVE,23,1.682,28,36,9.0,0,0.0
NE 65TH AVE,19,1.681,24,36,9.0,0,0.0
NE 49TH AVE,24,1.676,20,34,8.0,0,0.0
NE 41ST AVE,21,1.661,24,30,6.0,0,0.0
N MISSOURI AVE,20,1.644,20,37,9.5,0,0.0
SE 75TH AVE,15,1.642,16,32,7.0,2,0.153
